IDs,Sub_ID,Extension,Baitset
TCGA-EE-A29S-06,TCGA-EE-A29S,6,Agilent Custom
TCGA-EE-A29V-06,TCGA-EE-A29V,6,Agilent Custom
TCGA-EE-A29W-06,TCGA-EE-A29W,6,Agilent Custom
TCGA-EE-A2A1-06,TCGA-EE-A2A1,6,Agilent Custom
TCGA-EE-A2A2-06,TCGA-EE-A2A2,6,Agilent Custom
TCGA-EE-A2A5-06,TCGA-EE-A2A5,6,Agilent Custom
TCGA-EE-A2A6-06,TCGA-EE-A2A6,6,Agilent Custom
TCGA-EE-A2GB-06,TCGA-EE-A2GB,6,Agilent Custom
TCGA-EE-A2GC-06,TCGA-EE-A2GC,6,Agilent Custom
TCGA-EE-A2GE-06,TCGA-EE-A2GE,6,Agilent Custom
TCGA-EE-A2GH-06,TCGA-EE-A2GH,6,Agilent Custom
TCGA-EE-A2GI-06,TCGA-EE-A2GI,6,Agilent Custom
TCGA-EE-A2GJ-06,TCGA-EE-A2GJ,6,Agilent Custom
TCGA-EE-A2GN-06,TCGA-EE-A2GN,6,Agilent Custom
TCGA-EE-A2GP-06,TCGA-EE-A2GP,6,Agilent Custom
TCGA-EE-A2GR-06,TCGA-EE-A2GR,6,Agilent Custom
TCGA-EE-A2GT-06,TCGA-EE-A2GT,6,Agilent Custom
TCGA-EE-A2M5-06,TCGA-EE-A2M5,6,Agilent Custom
TCGA-EE-A2M6-06,TCGA-EE-A2M6,6,Agilent Custom
TCGA-EE-A2M7-06,TCGA-EE-A2M7,6,Agilent Custom
TCGA-EE-A2MC-06,TCGA-EE-A2MC,6,Agilent Custom
TCGA-EE-A2MD-06,TCGA-EE-A2MD,6,Agilent Custom
TCGA-EE-A2ME-06,TCGA-EE-A2ME,6,Agilent Custom
TCGA-EE-A2MG-06,TCGA-EE-A2MG,6,Agilent Custom
TCGA-EE-A2MH-06,TCGA-EE-A2MH,6,Agilent Custom
TCGA-EE-A2MI-06,TCGA-EE-A2MI,6,Agilent Custom
TCGA-EE-A2MJ-06,TCGA-EE-A2MJ,6,Agilent Custom
TCGA-EE-A2ML-06,TCGA-EE-A2ML,6,Agilent Custom
TCGA-EE-A2MN-06,TCGA-EE-A2MN,6,Agilent Custom
TCGA-EE-A2MR-06,TCGA-EE-A2MR,6,Agilent Custom
TCGA-EE-A2MS-06,TCGA-EE-A2MS,6,Agilent Custom
TCGA-EE-A2MT-06,TCGA-EE-A2MT,6,Agilent Custom
TCGA-EE-A2MU-06,TCGA-EE-A2MU,6,Agilent Custom
TCGA-EE-A3AA-06,TCGA-EE-A3AA,6,Agilent Custom
TCGA-EE-A3AB-06,TCGA-EE-A3AB,6,Agilent Custom
TCGA-EE-A3AC-06,TCGA-EE-A3AC,6,Agilent Custom
TCGA-EE-A3AD-06,TCGA-EE-A3AD,6,Agilent Custom
TCGA-EE-A3AG-06,TCGA-EE-A3AG,6,Agilent Custom
TCGA-EE-A3AH-06,TCGA-EE-A3AH,6,Agilent Custom
TCGA-EE-A3J3-06,TCGA-EE-A3J3,6,Agilent Custom
TCGA-EE-A3J4-06,TCGA-EE-A3J4,6,Agilent Custom
TCGA-EE-A3J5-06,TCGA-EE-A3J5,6,Agilent Custom
TCGA-EE-A3J7-06,TCGA-EE-A3J7,6,Agilent Custom
TCGA-EE-A3J8-06,TCGA-EE-A3J8,6,Agilent Custom
TCGA-EE-A3JA-06,TCGA-EE-A3JA,6,Agilent Custom
TCGA-EE-A3JD-06,TCGA-EE-A3JD,6,Agilent Custom
TCGA-EE-A3JE-06,TCGA-EE-A3JE,6,Agilent Custom
TCGA-EE-A3JH-06,TCGA-EE-A3JH,6,Agilent Custom
TCGA-EE-A3JI-06,TCGA-EE-A3JI,6,Agilent Custom
TCGA-ER-A193-06,TCGA-ER-A193,6,Agilent Custom
TCGA-ER-A195-06,TCGA-ER-A195,6,Agilent Custom
TCGA-ER-A198-06,TCGA-ER-A198,6,Agilent Custom
TCGA-ER-A19A-06,TCGA-ER-A19A,6,Agilent Custom
TCGA-ER-A19B-06,TCGA-ER-A19B,6,Agilent Custom
TCGA-ER-A19C-06,TCGA-ER-A19C,6,Agilent Custom
TCGA-ER-A19F-06,TCGA-ER-A19F,6,Agilent Custom
TCGA-ER-A19H-06,TCGA-ER-A19H,6,Agilent Custom
TCGA-ER-A19J-06,TCGA-ER-A19J,6,Agilent Custom
TCGA-ER-A19M-06,TCGA-ER-A19M,6,Agilent Custom
TCGA-ER-A19N-06,TCGA-ER-A19N,6,Agilent Custom
TCGA-ER-A19O-06,TCGA-ER-A19O,6,Agilent Custom
TCGA-ER-A1A1-06,TCGA-ER-A1A1,6,Agilent Custom
TCGA-ER-A2NC-06,TCGA-ER-A2NC,6,Agilent Custom
TCGA-ER-A2NE-06,TCGA-ER-A2NE,6,Agilent Custom
TCGA-ER-A2NH-06,TCGA-ER-A2NH,6,Agilent Custom
TCGA-ER-A3EV-06,TCGA-ER-A3EV,6,Agilent Custom
TCGA-ER-A3PL-06,TCGA-ER-A3PL,6,Agilent Custom
TCGA-ER-A42L-06,TCGA-ER-A42L,6,Agilent Custom
TCGA-FR-A3YN-06,TCGA-FR-A3YN,6,Agilent Custom
TCGA-FR-A7U8-06,TCGA-FR-A7U8,6,Agilent Custom
TCGA-FR-A8YC-06,TCGA-FR-A8YC,6,Agilent Custom
TCGA-FR-A8YE-06,TCGA-FR-A8YE,6,Agilent Custom
TCGA-FS-A1YW-06,TCGA-FS-A1YW,6,Agilent Custom
TCGA-FS-A1Z4-06,TCGA-FS-A1Z4,6,Agilent Custom
TCGA-FS-A1Z7-06,TCGA-FS-A1Z7,6,Agilent Custom
TCGA-FS-A1ZB-06,TCGA-FS-A1ZB,6,Agilent Custom
TCGA-FS-A1ZC-06,TCGA-FS-A1ZC,6,Agilent Custom
TCGA-FS-A1ZD-06,TCGA-FS-A1ZD,6,Agilent Custom
TCGA-FS-A1ZE-06,TCGA-FS-A1ZE,6,Agilent Custom
TCGA-FS-A1ZK-06,TCGA-FS-A1ZK,6,Agilent Custom
TCGA-FS-A1ZM-06,TCGA-FS-A1ZM,6,Agilent Custom
TCGA-FS-A1ZP-06,TCGA-FS-A1ZP,6,Agilent Custom
TCGA-FS-A1ZQ-06,TCGA-FS-A1ZQ,6,Agilent Custom
TCGA-FS-A1ZR-06,TCGA-FS-A1ZR,6,Agilent Custom
TCGA-FS-A1ZS-06,TCGA-FS-A1ZS,6,Agilent Custom
TCGA-FS-A1ZT-06,TCGA-FS-A1ZT,6,Agilent Custom
TCGA-FS-A1ZW-06,TCGA-FS-A1ZW,6,Agilent Custom
TCGA-FS-A1ZY-06,TCGA-FS-A1ZY,6,Agilent Custom
TCGA-FS-A4F8-06,TCGA-FS-A4F8,6,Agilent Custom
TCGA-FS-A4F9-06,TCGA-FS-A4F9,6,Agilent Custom
TCGA-FS-A4FD-06,TCGA-FS-A4FD,6,Agilent Custom
TCGA-FW-A3R5-06,TCGA-FW-A3R5,6,Agilent Custom
TCGA-GF-A6C9-06,TCGA-GF-A6C9,6,Agilent Custom
TCGA-GN-A264-06,TCGA-GN-A264,6,Agilent Custom
TCGA-GN-A265-06,TCGA-GN-A265,6,Agilent Custom
TCGA-GN-A266-06,TCGA-GN-A266,6,Agilent Custom
TCGA-GN-A267-06,TCGA-GN-A267,6,Agilent Custom
TCGA-GN-A4U3-06,TCGA-GN-A4U3,6,Agilent Custom
